Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/23/2020,Colchuck Zone,9/5/2020,Snow Zone,7/26/2020,Snow Zone,Awarded,3,7/26/2020,Snow Zone,6
Overnight Permit,6/5/2020,Core Enchantment Zone,6/12/2020,Core Enchantment Zone,6/19/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/19/2020,Core Enchantment Zone,9/26/2020,Core Enchantment Zone,10/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Colchuck Zone,6/26/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/29/2020,Core Enchantment Zone,7/30/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/4/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/12/2020,Core Enchantment Zone,10/17/2020,Core Enchantment Zone,8/22/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/5/2020,Snow Zone,9/5/2020,Colchuck Zone,9/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/5/2020,Snow Zone,9/20/2020,Stuart  Zone,10/3/2020,Core Enchantment Zone,Awarded,1,7/5/2020,Snow Zone,4
Overnight Permit,8/12/2020,Snow Zone,8/12/2020,Colchuck Zone,8/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/19/2020,Core Enchantment Zone,6/19/2020,Eightmile/Caroline Zone,7/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/5/2020,Colchuck Zone,8/19/2020,Colchuck Zone,9/28/2020,Snow Zone,Awarded,3,9/28/2020,Snow Zone,6
Overnight Permit,8/14/2020,Core Enchantment Zone,7/17/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,8/26/2020,Core Enchantment Zone,9/2/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Core Enchantment Zone,7/27/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/29/2020,Core Enchantment Zone,7/21/2020,Core Enchantment Zone,7/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/3/2020,Core Enchantment Zone,8/4/2020,Core Enchantment Zone,8/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/28/2020,Core Enchantment Zone,7/29/2020,Core Enchantment Zone,7/30/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/2/2020,Core Enchantment Zone,6/26/2020,Core Enchantment Zone,10/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/4/2020,Core Enchantment Zone,7/30/2020,Core Enchantment Zone,8/6/2020,Core Enchantment Zone,Awarded,1,7/4/2020,Core Enchantment Zone,8
Overnight Permit,8/31/2020,Core Enchantment Zone,9/8/2020,Colchuck Zone,9/30/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/5/2020,Core Enchantment Zone,5/22/2020,Core Enchantment Zone,6/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/3/2020,Core Enchantment Zone,9/2/2020,Colchuck Zone,9/9/2020,Snow Zone,Unsuccessful,,,,
